term,replacement
Lanthanum alloy,Lanthanum alloy
Lanthanum aluminate,Lanthanum aluminate
Lanthanum boride,Lanthanum boride
Lanthanum bromide,Lanthanum bromide
Lanthanum carbonate,Lanthanum carbonate
Lanthanum carbide,Lanthanum carbide
Lanthanum chloride,Lanthanum chloride
Lanthanum complex,Lanthanum complex
Lanthanum compound,Lanthanum compound
Lanthanum fluoride,Lanthanum fluoride
Lanthanum hydroxide,Lanthanum hydroxide
Lanthanum hydride,Lanthanum hydride
Lanthanum II,Lanthanum II
Lanthanum III,Lanthanum III
Lanthanum iodide,Lanthanum iodide
Lanthanum ion,Lanthanum ion
Lanthanum nitrate,Lanthanum nitrate
Lanthanum nitride,Lanthanum nitride
Lanthanum oxide,Lanthanum oxide
Lanthanum phosphate,Lanthanum phosphate
Lanthanum phosphide,Lanthanum phosphide
Lanthanum silicate,Lanthanum silicate
Lanthanum silicide,Lanthanum silicide
Lanthanum sulfate,Lanthanum sulfate
Lanthanum sulfide,Lanthanum sulfide
Lanthanide,Lanthanide
Rare earth metal alloy,Rare earth metal alloy
Rare earth metal complex,Rare earth metal complex
Lanthanide compound,Lanthanide compound
Lanthanide II,Lanthanide II
Lanthanide III,Lanthanide III
Lanthanide ion,Lanthanide ion
Lanthanide IV,Lanthanide IV
Lantibiotic,Lantibiotic
Laodelphax striatellus,Laodelphax striatellus
Laos,Laos
Laparoscopy,Laparoscopy
Laparotomy,Laparotomy
Exploratory laparatomy,Exploratory laparatomy
Rabbit,Rabbit
Laplacian,Laplacian
Lapland,Lapland
Laponite,Laponite
Laprafylline,Laprafylline
Lapsus,Lapsus
Lacquering,Lacquering
Lacquer,Lacquer
Hair lacquer,Hair lacquer
Backfat,Backfat
Lardizabalaceae,Lardizabalaceae
Wide band,Wide band
Wide flat,Wide flat
Width,Width
Bandwidth,Bandwidth
Spectral bandwidth,Spectral bandwidth
Equivalent width,Equivalent width
Crack width,Crack width
Joint width,Joint width
Line width,Line width
Spectral line width,Line width
Source line width,Source line width
Larix,Larix
Larix decidua,Larix decidua
Larix europaea,Larix decidua
Larix kaempferi,Larix kaempferi
Larix leptolepis,Larix kaempferi
Larix laricina,Larix laricina
Larix occidentalis,Larix occidentalis
Larix sibirica,Larix sibirica
Tear,Tear
Artificial tear,Artificial tear
Crocodile tears syndrome,Crocodile tears syndrome
Lacrimation,Lacrimation
Larrea tridentata,Larrea tridentata
Zygophyllaceae,Zygophyllaceae
Larsen syndrome,Larsen syndrome
Larus argentatus,Larus argentatus
Larus atricilla,Larus atricilla
Larus audouinii,Larus audouinii
Larus cachinnans,Larus cachinnans
Larus delawarensis,Larus delawarensis
Larus fuscus,Larus fuscus
Larus glaucescens,Larus glaucescens
Larus marinus,Larus marinus
Larus occidentalis,Larus occidentalis
Larus philadelphia,Larus philadelphia
Larus ridibundus,Larus ridibundus
Larva,Larva
Larviposition,Larviposition
Laryngectomy,Laryngectomy
Reconstructive laryngectomy,Reconstructive laryngectomy
Supraglottic laryngectomy,Supraglottic laryngectomy
Vertical laryngectomy,Vertical laryngectomy
Laryngitis,Laryngitis
Laryngitis stridulosa,Laryngitis stridulosa
Laryngocele,Laryngocele
Laryngotomy,Laryngotomy
Laryngography,Laryngography
Laryngomalacia,Laryngomalacia
Laryngoesophagectomy,Laryngoesophagectomy
Laryngoscope,Laryngoscope
Laryngoscopy,Laryngoscopy
Direct laryngoscopy,Direct laryngoscopy
Indirect laryngoscopy,Indirect laryngoscopy
Suspension laryngoscopy,Suspension laryngoscopy
Exploratory laryngectomy,Exploratory laryngectomy
Laryngotracheal,Laryngotracheal
Avian laryngotracheitis,Avian laryngotracheitis
Avian infectious laryngotracheitis,Avian infectious laryngotracheitis
Laryngotracheobronchitis,Laryngotracheobronchitis
Larynx,Larynx
Artificial larynx,Artificial larynx
Larynx disease,Larynx disease
Lasalocid,Lasalocid
Laser,Laser
Two mode laser,Two mode laser
Two photon laser,Two photon laser
Tunable laser,Tunable laser
Amplifier laser,Amplifier laser
Ring laser,Ring laser
Atomic laser,Atomic laser
Two wavelength laser,Two wavelength laser
Cleaved coupled cavity laser,Cleaved coupled cavity laser
Coupled cavity laser,Coupled cavity laser
Vertical cavity laser,Vertical cavity laser
Chemical laser,Chemical laser
CO2 laser,CO2 laser
Dye laser,Dye laser
CW laser,CW laser
Thin film laser,Thin film laser
CSP laser,CSP laser
Q switched laser,Q switched laser
Gas dynamic laser,Gas dynamic laser
Free electron laser,Free electron laser
Surface emitting laser,Surface emitting laser
Buried laser,Buried laser
Fiber laser,Fiber laser
Gas laser,Gas laser
Large optical cavity laser,Large optical cavity laser
GRINSCH laser,GRINSCH laser
GRIN SCH laser,GRINSCH laser
Gain guided laser,Gain guided laser
Index guided laser,Index guided laser
Waveguide laser,Waveguide laser
Injection laser,Injection laser
Ion laser,Ion laser
Infrared laser,Infrared laser
Miniature laser,Miniature laser
Mode locked laser,Mode locked laser
Molecular laser,Molecular laser
Single frequency laser,Single frequency laser
Single mode laser,Single mode laser
Multifrequency laser,Multifrequency laser
Multimode laser,Multimode laser
Travelling wave laser,Travelling wave laser
Oscillator laser,Oscillator laser
Power laser,Power laser
Pulsed laser,Pulsed laser
Gamma ray laser,Gamma ray laser
Distributed feedback laser,Distributed feedback laser
Twin stripe laser,Twin stripe laser
X ray laser,X ray laser
Laser without inversion,Laser without inversion
SCH laser,SCH laser
Separate-confinement heterostructure laser,SCH laser
Semiconductor laser,Semiconductor laser
Solid state laser,Solid state laser
TEA laser,TEA laser
Ultraviolet laser,Ultraviolet laser
YAG laser,YAG laser
Zeeman laser,Zeeman laser
LASH syndrome,LASH syndrome
Lasinavir,Lasinavir
Lasioderma serricorne,Lasioderma serricorne
Lasiodiplodia theobromae,Lasiodiplodia theobromae
Botryodiplodia theobromae,Lasiodiplodia theobromae
Diplodia natalensis,Lasiodiplodia theobromae
Diplodia theobromae,Lasiodiplodia theobromae
Lasius flavus,Lasius flavus
Lasius niger,Lasius niger
Lasofoxifene,Lasofoxifene
Wood stain,Wood stain
Latamoxef,Latamoxef
Latanoprost,Latanoprost
Latency,Latency
Response latency,Response latency
Latent,Latent
Latent Obesity Questionnaire Pudel,Latent Obesity Questionnaire Pudel
Lateral,Lateral
Lateral Dominance Test Harris,Lateral Dominance Test Harris
Laterality,Laterality
Laterality Assessment Inventory Sherman Kulhavy,Laterality Assessment Inventory Sherman Kulhavy
Laterality Preference Schedule Dean,Laterality Preference Schedule Dean
Laterite,Laterite
Laterognathia,Laterognathia
Laterolateral,Laterolateral
Lates calcarifer,Lates calcarifer
Latex,Latex
Latheticus oryzae,Latheticus oryzae
Lathosterol oxidase,Lathosterol oxidase
EC 1−3−3−2,Lathosterol oxidase
EC 1.3.3.2,Lathosterol oxidase
Lathridiidae,Lathridiidae
Lathyrism,Lathyrism
Lathyrogen,Lathyrogen
Lathyrus,Lathyrus
Lathyrus hirsutus,Lathyrus hirsutus
Lathyrus odoratus,Lathyrus odoratus
Lathyrus sativus,Lathyrus sativus
Lathyrus sylvestris,Lathyrus sylvestris
Latia-luciferin monooxygenase (demethylating),Latia-luciferin monooxygenase (demethylating)
EC 1−14−99−21,Latia-luciferin monooxygenase (demethylating)
EC 1.14.99.21,Latia-luciferin monooxygenase (demethylating)
Laticiferous tissue,Laticiferous tissue
Latimeria chalumnae,Latimeria chalumnae
Latin,Latin
Latinamerican,Latinamerican
Latitude,Latitude
Heliographic latitude,Heliographic latitude
Latium,Latium
LATS,LATS
LATS protector,LATS protector
Lathing,Lathing
Laubry-Soulié syndrome,Laubry-Soulié syndrome
Laubry Soulle syndrome,Laubry-Soulié syndrome
Sorbitan laurate,Sorbitan laurate
Laurence-Moon-Bardet-Biedl syndrome,Laurence-Moon-Bardet-Biedl syndrome
Laurence Moon Bardet Biedl syndrome,Laurence-Moon-Bardet-Biedl syndrome
Laurel,Laurel
Lauril,Lauril
Laurilsulfate drug,Laurilsulfate drug
Lauric acid,Lauric acid
Laurixamine,Laurixamine
Laurocapram,Laurocapram
Lauroguadine,Lauroguadine
Lauromacrogol 400,Lauromacrogol 400
Laurus,Laurus
Laurus nobilis,Laurus nobilis
Lauxaniidae,Lauxaniidae
Washability,Washability
Lavatory basin,Lavatory basin
Washing,Washing
Bronchoalveolar lavage,Bronchoalveolar lavage
Lavender,Lavender
Lavandula,Lavandula
Lavandula angustifolia,Lavandula angustifolia
Lavandula officinalis,Lavandula angustifolia
Lavandula vera,Lavandula angustifolia
Lavandula intermedia,Lavandula intermedia
Lavandula officinalis × Lavandula spica,Lavandula intermedia
Lavandula latifolia × Lavandula angustifolia,Lavandula intermedia
Lavandula angustifolia × Lavandula latifolia,Lavandula intermedia
Lavandula hybrida,Lavandula intermedia
Lavandula burnatii,Lavandula intermedia
Lavandula latifolia,Lavandula latifolia
Lavandula spica,Lavandula latifolia
Lava,Lava
Dishwasher,Dishwasher
Enema,Enema
Barium enema,Barium enema
Contrast enema,Contrast enema
Laundry,Laundry
Scrubber,Scrubber
Spraying washer,Spraying washer
Venturi scrubber,Venturi scrubber
Washery,Washery
Lavoltidine,Lavoltidine
Law School Admission Test,Law School Admission Test
Law School Aptitude Test,Law School Aptitude Test
Lawrencium,Lawrencium
Lawsonia,Lawsonia
Lawsonia intracellularis,Lawsonia intracellularis
Ileal symbiont intracellularis,Lawsonia intracellularis
Laxative,Laxative
Lazabemide,Lazabemide
Lazaroid,Lazaroid
Northern Cape,Northern Cape
Western Cape,Western Cape
Eastern Cape,Eastern Cape
Leader Behavior Description Questionnaire Stogdill,Leader Behavior Description Questionnaire Stogdill
Leader Effectiveness and Description Instrument of Self Perception Hersey Blanchard,Leader Effectiveness and Description Instrument of Self Perception Hersey Blanchard
Leader Ideas Questionnaire,Leader Ideas Questionnaire
Leader Power Inventory,Leader Power Inventory
Leader Quotations Questionnaire,Leader Quotations Questionnaire
Leader Role Clarification Behavior Scale Schriesheim,Leader Role Clarification Behavior Scale Schriesheim
Leader Style Questionnaire,Leader Style Questionnaire
Leadership,Leadership
Leadership Analysis Questionnaire Davis Mount,Leadership Analysis Questionnaire Davis Mount
Leadership Motive Pattern McClelland,Leadership Motive Pattern McClelland
Leadership Opinion Questionnaire,Leadership Opinion Questionnaire
Leadership Scale for Sports,Leadership Scale for Sports
Leardership Behavior Assessment Scale Brown,Leardership Behavior Assessment Scale Brown
Learning Ability Profile,Learning Ability Profile
Learning Ability Test,Learning Ability Test
Learning Accomplishment Profile,Learning Accomplishment Profile
Learning Aptitude Test Hishey Nebraska,Learning Aptitude Test Hishey Nebraska
Learning Disability Index,Learning Disability Index
Learning Environment Inventory Walberg,Learning Environment Inventory Walberg
Learning Orientation Grade Orientation Scale Eison,Learning Orientation Grade Orientation Scale Eison
Learning Potential Assessment Device,Learning Potential Assessment Device
Learning Preference Scale Students,Learning Preference Scale Students
Learning Style Inventory Kolb,Learning Style Inventory Kolb
Learning Style Questionnaire Honey Mumford,Learning Style Questionnaire Honey Mumford
Least Preferred Coworker Fiedler,Least Preferred Coworker Fiedler
Liver sausage,Liver sausage
Lecimibide,Lecimibide
Reader,Reader
Tape reader,Tape reader
Magnetic tape reader,Magnetic tape reader
Card reader,Card reader
Disk drive,Disk drive
Optical reader,Optical reader
Reader printer,Reader printer
Lectin,Lectin
Reading,Reading
Lip reading,Lip reading
Optical reading,Optical reading
Oral reading,Oral reading
Public reading,Public reading
Tactile reading,Tactile reading
Lecudina,Lecudina
Lecudina catalinensis,Lecudina catalinensis
Lecudina longissima,Lecudina longissima
Lecudina pherusae,Lecudina pherusae
Lecudina zimmeri,Lecudina zimmeri
Lecythidaceae,Lecythidaceae
Ledazerol,Ledazerol
Ledeburite,Ledeburite
Ledismase,Ledismase
Ledoxantrone,Ledoxantrone
Leeaceae,Leeaceae
Lefetamine,Lefetamine
Leflunomide,Leflunomide
Lefradafiban,Lefradafiban
Left Right Reversal Test Jordan,Left Right Reversal Test Jordan
Lightness,Lightness
Leghemoglobin reductase,Leghemoglobin reductase
EC 1−6−2−6,Leghemoglobin reductase
EC 1.6.2.6,Leghemoglobin reductase
Leghemoglobin,Leghemoglobin
Legionella,Legionella
Legionellaceae,Legionellaceae
Legionella bozemanii,Legionella bozemanii
Legionella feeleii,Legionella feeleii
Legionella pneumophila,Legionella pneumophila
Legionellosis,Legionellosis
Legislation,Legislation
Foreign legislation,Foreign legislation
Legumain,Legumain
EC 3−4−22−34,Legumain
Bean endopeptidase,Legumain
Vicilin peptidohydrolase,Legumain
EC 3.4.22.34,Legumain
Vegetables,Vegetables
Vegetable by product,Vegetable by product
Legumin,Legumin
Legumes,Legumes
Grain legume,Grain legume
Leicester,Leicester
Leiodidae,Leiodidae
Leiomyoblastoma,Leiomyoblastoma
Leiomyomata,Leiomyomata
Leiomyoma,Leiomyoma
Leiomyosarcoma,Leiomyosarcoma
Leiopyrrole,Leiopyrrole
Leiostomus xanthurus,Leiostomus xanthurus
Leishmania,Leishmania
Leishmania adlori,Leishmania adlori
Leishmania americana,Leishmania americana
Leishmania braziliensis,Leishmania braziliensis
Leishmania brasiliensis,Leishmania braziliensis
Leishmania canis,Leishmania canis
Leishmania caprae,Leishmania caprae
Leishmania chagasi,Leishmania chagasi
Leishmania donovani,Leishmania donovani
Leishmania enrietti,Leishmania enrietti
Leishmania infantum,Leishmania infantum
Leishmania major,Leishmania major
Leishmania tropica major,Leishmania major
Leishmania mexicana,Leishmania mexicana
Leishmania peruviana,Leishmania peruviana
Leishmania rangeli,Leishmania rangeli
Leishmania recidiva,Leishmania recidiva
Leishmania tarentolae,Leishmania tarentolae
Leishmania tropica,Leishmania tropica
Leishmaniasis,Leishmaniasis
Kala azar,Kala azar
Leishmanolysin,Leishmanolysin
EC 3−4−24−36,Leishmanolysin
Promastigote surface endopeptidase,Leishmanolysin
Glycoprotein gp63,Leishmanolysin
EC 3.4.24.36,Leishmanolysin
Leisure Activities Questionnaire,Leisure Activities Questionnaire
Leisure Satisfaction Scale,Leisure Satisfaction Scale
Leitneriaceae,Leitneriaceae
Leiurus quinquestriatus,Leiurus quinquestriatus
Lek,Lek
Lemidosul,Lemidosul
Lemildipine,Lemildipine
Leminoprazole,Leminoprazole
Lemna gibba,Lemna gibba
Lemnaceae,Lemnaceae
Lemna minor,Lemna minor
Lemna paucicostata,Lemna paucicostata
Lemoxinol,Lemoxinol
Lemur catta,Lemur catta
Lemur fulvus,Lemur fulvus
Lemur macaco,Lemur macaco
Lenampicillin,Lenampicillin
Lenapenem,Lenapenem
Lenercept,Lenercept
Leniquinsin,Leniquinsin
Lennoaceae,Lennoaceae
Lenograstim,Lenograstim
Lenperone,Lenperone
Lens culinaris,Lens culinaris
Lens esculenta,Lens culinaris
Lentibulariaceae,Lentibulariaceae
Anterior lenticonus,Anterior lenticonus
Posterior lenticonus,Posterior lenticonus
Lentiginosis,Lentiginosis
Centrofacial lentiginosis,Centrofacial lentiginosis
Lentil,Lentil
Two electrode lens,Two electrode lens
Three electrode lens,Three electrode lens
Acoustic lens,Acoustic lens
Aspherical lens,Aspherical lens
Bifocal lens,Bifocal lens
Cathodic lens,Cathodic lens
Conoid lens,Conoid lens
Converging lens,Converging lens
Contact lens,Contact lens
Combined contact lens,Combined contact lens
Crossed lens,Crossed lens
Cylindrical lens,Cylindrical lens
Kesari pulse,Kesari pulse
Diverging lens,Diverging lens
Doublet lens,Doublet lens
Hard lens,Hard lens
Electron lens,Electron lens
Electrostatic lens,Electrostatic lens
Ellipsoidal lens,Ellipsoidal lens
Thick lens,Thick lens
Filtering lens,Filtering lens
Fresnel lens,Fresnel lens
Geodesic lens,Geodesic lens
Gravitational lens,Gravitational lens
Hertzian lens,Hertzian lens
Holographic lens,Holographic lens
Intraocular lens,Intraocular lens
Luneburg lens,Luneburg lens
Magnetic lens,Magnetic lens
Thin lens,Thin lens
Monofocal lens,Monofocal lens
Multifocal lens,Multifocal lens
Fly eye lens,Fly eye lens
Optical lens,Optical lens
Particle lens,Particle lens
Perforated lens,Perforated lens
Photochromic lens,Photochromic lens
Progressive power lens,Progressive power lens
Quadrupolar lens,Quadrupolar lens
Soft lens,Soft lens
Spherical lens,Spherical lens
Tinted lens,Tinted lens
Corneal shield,Corneal shield
Thermal lens,Thermal lens
Toric lens,Toric lens
Lentinus,Lentinus
Lentinus edodes,Lentinus edodes
Shiitake,Lentinus edodes
Lentivirus,Lentivirus
Lentivirinae,Lentivirus
Retroviridae,Retroviridae
LEOPARD syndrome,LEOPARD syndrome
Multiple lentigines syndrome,LEOPARD syndrome
Lepidium,Lepidium
Lepidium sativum,Lepidium sativum
Lepidochelys kempi,Lepidochelys kempi
Lepidopsocidae,Lepidopsocidae
Lepidosaphes beckii,Lepidosaphes beckii
Lepidostomatidae,Lepidostomatidae
Lepiota,Lepiota
Lepiota naucina,Lepiota naucina
Lepiota procera,Lepiota procera
Lepirudin,Lepirudin
Lepismatidae,Lepismatidae
Thysanura,Thysanura
Lepista nuda,Lepista nuda
Rhodopaxillus nudus,Lepista nuda
Lepomis cyanellus,Lepomis cyanellus
Lepomis gibbosus,Lepomis gibbosus
Lepomis macrochirus,Lepomis macrochirus
Leporipoxvirus,Leporipoxvirus
Mycobacterial infection,Mycobacterial infection
Histoid leprosy,Histoid leprosy
Indeterminate leprosy,Indeterminate leprosy
Borderline leprosy,Borderline leprosy
Lepromatous leprosy,Lepromatous leprosy
Multibacillary leprosy,Multibacillary leprosy
Paucibacillary leprosy,Paucibacillary leprosy
Tuberculoid leprosy,Tuberculoid leprosy
Leprechaunism,Leprechaunism
Leproma,Leproma
Lepromin,Lepromin
Leptacline,Leptacline
Leptin,Leptin
Leptinotarsa decemlineata,Leptinotarsa decemlineata
Leptoceridae,Leptoceridae
Leptomastix dactylopii,Leptomastix dactylopii
Leptomeninge,Leptomeninge
Leptomonas,Leptomonas
Leptomonas collosoma,Leptomonas collosoma
Leptomonas pyraustae,Leptomonas pyraustae
Lepton,Lepton
Leptonema,Leptonema
Leptospiraceae,Leptospiraceae
Leptonychotes weddellii,Leptonychotes weddellii
Weddell seal,Leptonychotes weddellii
Leptonychotes weddelli,Leptonychotes weddellii
Leptophlebiidae,Leptophlebiidae
Leptopilina boulardi,Leptopilina boulardi
Leptopilina heterotoma,Leptopilina heterotoma
Leptopsyllidae,Leptopsyllidae
Leptosols,Leptosols
Leptosphaeria,Leptosphaeria
Leptosphaeria avenaria,Leptosphaeria avenaria
Leptosphaeria coniothyrium,Leptosphaeria coniothyrium
Leptosphaeria maculans,Leptosphaeria maculans
Leptosphaeria michotii,Leptosphaeria michotii
Leptosphaeria sacchari,Leptosphaeria sacchari
Leptosphaeria senegalensis,Leptosphaeria senegalensis
Leptosphaeria taiwanensis,Leptosphaeria taiwanensis
Leptosphaeria tompkinsii,Leptosphaeria tompkinsii
Leptospira,Leptospira
Leptospira biflexa,Leptospira biflexa
Leptospira interrogans,Leptospira interrogans
Leptospira interrogans serovar canicola,Leptospira interrogans serovar canicola
Leptospira interrogans serovar grippotyphosa,Leptospira interrogans serovar grippotyphosa
Leptospira interrogans serovar hardjo,Leptospira interrogans serovar hardjo
Leptospira interrogans serovar icterohaemorrhagiae,Leptospira interrogans serovar icterohaemorrhagiae
Leptospira interrogans serovar pomona,Leptospira interrogans serovar pomona
Leptospira parva,Leptospira parva
Spirochaetales,Spirochaetales
Leptospirosis,Leptospirosis
Leptostraca,Leptostraca
Leptotheca,Leptotheca
Leptotheca coelorhyncha,Leptotheca coelorhyncha
Leptothorax,Leptothorax
Leptothorax acervorum,Leptothorax acervorum
Leptothrix,Leptothrix
Leptotrichia,Leptotrichia
Leptotrichia buccalis,Leptotrichia buccalis
Fusobacterium fusiforme,Leptotrichia buccalis
Lepus americanus,Lepus americanus
Lepus europaeus,Lepus europaeus
Lepus timidus,Lepus timidus
Lercanidipine,Lercanidipine
Lerdelimumab,Lerdelimumab
Lergotrile,Lergotrile
Leridistim,Leridistim
Lerisetron,Lerisetron
Lesch-Nyhan syndrome,Lesch-Nyhan syndrome
Lesch Nyhan syndrome,Lesch-Nyhan syndrome
Lesion,Lesion
Surgical lesion,Surgical lesion
Space occupying lesion,Space occupying lesion
Focal lesion,Focal lesion
Benign lymphoepithelial lesion,Benign lymphoepithelial lesion
Blast trauma,Blast trauma
Premalignant lesion,Premalignant lesion
Lesopitron,Lesopitron
Lesotho,Lesotho
Lespedeza,Lespedeza
Lespedeza cuneata,Lespedeza cuneata
Leaching,Leaching
Leachate,Leachate
Cooking liquor,Cooking liquor
Black liquor,Black liquor
Spent liquor,Spent liquor
Spent bleaching liquor,Spent bleaching liquor
Sulfite spent liquor,Sulfite spent liquor
Green liquor,Green liquor
Digester,Digester
Lestidae,Lestidae
Leteprinim,Leteprinim
Letimide,Letimide
Letosteine,Letosteine
Letrazuril,Letrazuril
Letrozole,Letrozole
Letterer Siwe disease,Letterer Siwe disease
Latvia,Latvia
Letter,Letter
Leucaena,Leucaena
Leucaena leucocephala,Leucaena leucocephala
Leukemia,Leukemia
Abelson leukemia,Abelson leukemia
Aleukemic leukemia,Aleukemic leukemia
GR Ascitic leukemia,GR Ascitic leukemia
«GR» Ascitic leukemia,GR Ascitic leukemia
ASL1-Leukemia,ASL1-Leukemia
«ASL1»-Leukemia,ASL1-Leukemia
Basophilic leukemia,Basophilic leukemia
Basophilic leukaemia,Basophilic leukemia
BW5 147-Leukemia,BW5 147-Leukemia
«BW5 147»-Leukemia,BW5 147-Leukemia
C1498-Leukemia,C1498-Leukemia
«C1498»-Leukemia,C1498-Leukemia
Leukemic lymphosarcoma,Leukemic lymphosarcoma
Adult T cell leukemia,Adult T cell leukemia
Dunning leukemia,Dunning leukemia
EL4-Leukemia,EL4-Leukemia
«EL4»-Leukemia,EL4-Leukemia
Eosinophilic leukemia,Eosinophilic leukemia
Eosinophilic leukaemia,Eosinophilic leukemia
Friend leukemia,Friend leukemia
Graffi leukemia,Graffi leukemia
Gross leukemia,Gross leukemia
L1210-Leukemia,L1210-Leukemia
«L1210»-Leukemia,L1210-Leukemia
L2C-Leukemia,L2C-Leukemia
«L2C»-Leukemia,L2C-Leukemia
L5178Y-Leukemia,L5178Y-Leukemia
«L5178Y»-Leukemia,L5178Y-Leukemia
L5178Y/CA55-Leukemia,L5178Y/CA55-Leukemia
«L5178Y/CA55»-Leukemia,L5178Y/CA55-Leukemia
L5222-Leukemia,L5222-Leukemia
«L5222»-Leukemia,L5222-Leukemia
LAJ1-Leukemia,LAJ1-Leukemia
«LAJ1»-Leukemia,LAJ1-Leukemia
Acute lymphocytic leukemia,Acute lymphocytic leukemia
Acute lymphocytic leukaemia,Acute lymphocytic leukemia
Lymphoblastic leukemia,Acute lymphocytic leukemia
Lymphoblastic leukaemia,Acute lymphocytic leukemia
Acute lymphoid leukemia,Acute lymphocytic leukemia
Acute lymphoid leukaemia,Acute lymphocytic leukemia
Acute lymphoblastic leukemia,Acute lymphocytic leukemia
Acute lymphoblastic leukaemia,Acute lymphocytic leukemia
Hairy cell leukemia,Hairy cell leukemia
Leukemic reticuloendotheliosis,Hairy cell leukemia
Leukaemic reticuloendotheliosis,Hairy cell leukemia
Chronic lymphocytic leukemia,Chronic lymphocytic leukemia
Chronic lymphocytic leukaemia,Chronic lymphocytic leukemia
Chronic lymphatic leukemia,Chronic lymphocytic leukemia
Chronic lymphatic leukaemia,Chronic lymphocytic leukemia
Chronic lymphoid leukemia,Chronic lymphocytic leukemia
Chronic lymphoid leukaemia,Chronic lymphocytic leukemia
Mazurenko leukemia,Mazurenko leukemia
Megakaryocytic leukemia,Megakaryocytic leukemia
Moloney leukemia,Moloney leukemia
Monoblastic leukemia,Monoblastic leukemia
Monocytic leukemia,Monocytic leukemia
Acute myelogenous leukemia,Acute myelogenous leukemia
Acute myelogenous leukaemia,Acute myelogenous leukemia
Acute myeloid leukemia,Acute myelogenous leukemia
Acute myeloid leukaemia,Acute myelogenous leukemia
Myeloblastic leukemia,Acute myelogenous leukemia
Myeloblastic leukaemia,Acute myelogenous leukemia
Acute granulocytic leukemia,Acute myelogenous leukemia
Acute granulocytic leukaemia,Acute myelogenous leukemia
Acute myelocytic leukaemia,Acute myelogenous leukemia
Acute myelocytic leukemia,Acute myelogenous leukemia
M0 acute myelocytic leukemia,M0 acute myelocytic leukemia
M0 acute myelogenous leukemia,M0 acute myelocytic leukemia
M0 acute myelogenous leukaemia,M0 acute myelocytic leukemia
Acute myeloid leukemia minimal differenciation,M0 acute myelocytic leukemia
Minimally differenciated myeloid leukemia,M0 acute myelocytic leukemia
M0 acute myeloid leukaemia,M0 acute myelocytic leukemia
M0 acute myeloblastic leukaemia,M0 acute myelocytic leukemia
M0 acute myeloblastic leukemia,M0 acute myelocytic leukemia
M0 acute myelocytic leukaemia,M0 acute myelocytic leukemia
M0 acute myeloid leukemia,M0 acute myelocytic leukemia
M1 acute myelocytic leukemia,M1 acute myelocytic leukemia
M1 acute myeloblastic leukemia,M1 acute myelocytic leukemia
M1 acute myeloblastic leukaemia,M1 acute myelocytic leukemia
M1 acute myelocytic leukaemia,M1 acute myelocytic leukemia
M1 acute myeloid leukemia,M1 acute myelocytic leukemia
M1 acute myeloid leukaemia,M1 acute myelocytic leukemia
M1 acute myelogenous leukemia,M1 acute myelocytic leukemia
M1 acute myelogenous leukaemia,M1 acute myelocytic leukemia
M2 acute myelocytic leukemia,M2 acute myelocytic leukemia
M2 acute myeloblastic leukemia,M2 acute myelocytic leukemia
M2 acute myeloblastic leukaemia,M2 acute myelocytic leukemia
M2 acute myelocytic leukaemia,M2 acute myelocytic leukemia
M2 acute myeloid leukemia,M2 acute myelocytic leukemia
M2 acute myeloid leukaemia,M2 acute myelocytic leukemia
M2 acute myelogenous leukemia,M2 acute myelocytic leukemia
M2 acute myelogenous leukaemia,M2 acute myelocytic leukemia
M3 acute myelocytic leukemia,M3 acute myelocytic leukemia
M3 acute myeloblastic leukemia,M3 acute myelocytic leukemia
M3 acute myeloblastic leukaemia,M3 acute myelocytic leukemia
M3 acute myelocytic leukaemia,M3 acute myelocytic leukemia
M3 acute myeloid leukemia,M3 acute myelocytic leukemia
M3 acute myeloid leukaemia,M3 acute myelocytic leukemia
M3 acute myelogenous leukemia,M3 acute myelocytic leukemia
M3 acute myelogenous leukaemia,M3 acute myelocytic leukemia
Acute promyelocytic leukaemia,M3 acute myelocytic leukemia
Acute promyelocytic leukemia,M3 acute myelocytic leukemia
Promyelocytic leukaemia,M3 acute myelocytic leukemia
AML M3,M3 acute myelocytic leukemia
AMLM3,M3 acute myelocytic leukemia
M3AML,M3 acute myelocytic leukemia
Promyelocytic leukemia,M3 acute myelocytic leukemia
M4 acute myelocytic leukemia,M4 acute myelocytic leukemia
M4 acute myelocytic leukaemia,M4 acute myelocytic leukemia
M4 acute myeloid leukemia,M4 acute myelocytic leukemia
M4 acute myeloid leukaemia,M4 acute myelocytic leukemia
M4 acute myelogenous leukemia,M4 acute myelocytic leukemia
M4 acute myelogenous leukaemia,M4 acute myelocytic leukemia
M4 acute myeloblastic leukemia,M4 acute myelocytic leukemia
M4 acute myeloblastic leukaemia,M4 acute myelocytic leukemia
M5 acute myelocytic leukemia,M5 acute myelocytic leukemia
M5 acute myeloblastic leukaemia,M5 acute myelocytic leukemia
M5 acute myelocytic leukaemia,M5 acute myelocytic leukemia
M5 acute myeloid leukemia,M5 acute myelocytic leukemia
M5 acute myeloid leukaemia,M5 acute myelocytic leukemia
M5 acute myelogenous leukemia,M5 acute myelocytic leukemia
M5 acute myelogenous leukaemia,M5 acute myelocytic leukemia
M5 acute myeloblastic leukemia,M5 acute myelocytic leukemia
M6 acute myelocytic leukemia,M6 acute myelocytic leukemia
Erythroblastic leukemia,M6 acute myelocytic leukemia
Erythroblastic leukaemia,M6 acute myelocytic leukemia
